input bits,output bits,mean,standard deviation,min error,max error
12,32,-4.52474e-11,0.000304704,-0.001227,0.001227
13,4,-0.00669861,0.229969,-0.59362,0.59362
13,5,-0.0143967,0.113354,-0.308407,0.25294
13,6,-0.00392914,0.0609621,-0.144607,0.187606
13,7,-0.00346565,0.0387043,-0.113357,0.113357
13,8,-0.00142288,0.0196786,-0.0647452,0.0640011
13,9,-0.000313282,0.0108337,-0.0346157,0.0346157
13,10,-0.000211477,0.00609822,-0.0188047,0.0210324
13,11,-0.000164986,0.00305019,-0.0108711,0.0132199
13,12,-3.68953e-05,0.00164861,-0.00631136,0.00638395
13,13,-1.59144e-05,0.000883448,-0.00353562,0.00353562
13,14,-2.13981e-05,0.0004856,-0.00195843,0.00195843
13,15,-4.45545e-06,0.000281852,-0.00110394,0.00110394
13,16,-3.57628e-06,0.000194418,-0.000761236,0.000761236
13,17,-1.112e-06,0.000166349,-0.000608648,0.000652861
13,18,-8.35396e-07,0.000155613,-0.000577523,0.000587132
13,19,-1.22003e-07,0.000152942,-0.000556615,0.000556615
13,20,-2.3446e-07,0.000152734,-0.00056043,0.00056043
13,21,-1.13389e-07,0.000153249,-0.000562337,0.00056043
13,22,-5.19794e-08,0.000153214,-0.00056043,0.00056043
13,23,-1.77533e-08,0.000153204,-0.000559953,0.000559953
13,24,-2.46509e-08,0.000153262,-0.000560906,0.000560668
13,25,-1.05283e-08,0.000153271,-0.000560668,0.000560668
13,26,-5.67525e-10,0.000153271,-0.000560787,0.000560787
13,27,-5.62068e-10,0.000153266,-0.000560698,0.000560698
13,28,-1.24328e-09,0.000153265,-0.000560698,0.000560698
13,29,-5.87534e-10,0.000153265,-0.000560683,0.00056069
13,30,-1.59844e-10,0.000153265,-0.00056069,0.00056069
13,31,-5.8094e-11,0.000153264,-0.00056069,0.000560689
13,32,-3.45608e-11,0.000153264,-0.000560692,0.000560691
14,4,-0.00668335,0.230021,-0.59362,0.59362
14,5,-0.0143776,0.113366,-0.30877,0.25294
14,6,-0.00393105,0.060951,-0.144607,0.187606
14,7,-0.00347233,0.0387279,-0.113628,0.113628
14,8,-0.00142145,0.019671,-0.0647452,0.0636188
14,9,-0.00031352,0.0108425,-0.0349796,0.0349796
14,10,-0.000210404,0.00609438,-0.0188353,0.02065
